url,keyword,url_length,num_dots,num_slashes,keyword_length,has_numbers,has_special_chars,tld
http://hfxqwplza4oe2xcximagszj2qwvkcg3nhn3qyohd7fibj4qqx53mrmad.onion,banking data leak,69,1,2,17,1,1,onion
http://353bcl5n4pdtryazgjbyr4yfgkwccmojreklr4aih726spshay3xsoyd.onion,banking data leak,69,1,2,17,1,1,onion
http://digidowhttlezhil6i7dpajfzku2duuzkyu4aork3wcqvrdyglcsrxyd.onion,banking data leak,69,1,2,17,1,1,onion
http://blackgw5rzqltfdkzhdum5ldrslrxd43j5umnz5aueky7opaozqv7oqd.onion,banking data leak,69,1,2,17,1,1,onion
http://ftbtvrv3uhdhimfelx7v32xist5xesp4hhukiczynxml3lfeujwkfxyd.onion,banking data leak,69,1,2,17,1,1,onion
http://z7735okcy6gggduobp6vjfcgwz4ss5eeduww7iw2agjmfgpjlnquezqd.onion,fake health insurance providers,69,1,2,31,1,1,onion
http://iwmacaphx5szexbssil4xhyq3yphh6q6cv7mmys2te56hqailvounkyd.onion,fake health insurance providers,69,1,2,31,1,1,onion
http://iwmacapjrdujz5zyhzcs4ahj3cuyuzrdpb7gyzlcpoxaikzk6lqpb2id.onion,fake health insurance providers,69,1,2,31,1,1,onion
http://itsbbbbbtbfx7ssxt7ljltkygewznyrlt47w2baiop3moiyz7ayawrqd.onion,fake health insurance providers,69,1,2,31,1,1,onion
http://hiddenw272tnxsvixique4u3nwlmpmtjjauuhpzdcux4o4f57lqaxhad.onion,fake health insurance providers,69,1,2,31,1,1,onion
http://b5q3qc7g3ag2h4ddjzrd7mkz5aden7yfit227hdzv7bmpixlkta2gzid.onion,fraudulent product reviews on e-commerce,69,1,2,40,1,1,onion
http://deepweb4epga7mkmlku53op47jinc3mzwudmruixr6gvra3xqqnlhwad.onion/catalog/bohemiabmgo5arzb6so564wzdsf76u6rm4dpukfcbf7jyjqgclu2beyd.onion,fraudulent product reviews on e-commerce,140,2,4,40,1,1,onion
http://wuehz3zfdxwjxgi73x7lk4w7mqpw4s3aihoaveouc5gcfzdc5rlt4yyd.onion,fraudulent product reviews on e-commerce,69,1,2,40,1,1,onion
http://deepweb4epga7mkmlku53op47jinc3mzwudmruixr6gvra3xqqnlhwad.onion/catalog/4rnsxgoijvnb6i6ujchlmudfobk7scdxpewf4vb2osdxuzo4rmkucpad.onion,fraudulent product reviews on e-commerce,140,2,4,40,1,1,onion
http://ciphbitqyg26jor7eeo6xieyq7reouctefrompp6ogvhqjba7uo4xdid.onion,fraudulent product reviews on e-commerce,69,1,2,40,1,1,onion
http://deepweb4epga7mkmlku53op47jinc3mzwudmruixr6gvra3xqqnlhwad.onion/catalog/darkmat3kdxestusl437urshpsravq7oqb7t3m36u2l62vnmmldzdmid.onion,fraudulent product reviews on e-commerce,140,2,4,40,1,1,onion
http://deepweb4epga7mkmlku53op47jinc3mzwudmruixr6gvra3xqqnlhwad.onion/catalog/incognit2hncowchtxqxx45neaa4uofgihcapqjeqizwf5hvst2k5myd.onion,fraudulent product reviews on e-commerce,140,2,4,40,1,1,onion
http://mushmerr2xabe3gut3yhlar4bbp2dwa34tbhtso7xj7zm7zhrnsdwuid.onion,fraudulent product reviews on e-commerce,69,1,2,40,1,1,onion
http://vcihq6mxfpvk36cd33youj2zwxqpgnx4xi3i5pq7zivtjeot75wl3rqd.onion,fraudulent product reviews on e-commerce,69,1,2,40,1,1,onion
http://rmoneyk6ykahdlhupc2migborsldthiungvwvdlosak2oe5dypxnkyad.onion,money laundering,69,1,2,16,1,1,onion
http://otdb6own6lfjfnxybkjqcudgdnlej7zuzghs5eoiclqkucttnwoc7oid.onion,money laundering,69,1,2,16,1,1,onion
http://fhycchcunlegpd74zcgwc3jcf4t3jzbsxnlbjkzldmkakeoa5esmsbad.onion,money laundering,69,1,2,16,1,1,onion
http://ngpkmimvcbmgrv7teddayoa2tqt2vbz5bscuxryfy5xhzme5bgbovbyd.onion,money laundering,69,1,2,16,1,1,onion
http://2222amgnaupypabkm7uqikhtt7gb62lrbbsl46ojugjktu52wslvckid.onion,money laundering,69,1,2,16,1,1,onion
http://cw2fl7ednjb6qjic3oqc3l5of5suyvlhcvbfwg5ssjqauxnjczar3wqd.onion,money laundering,69,1,2,16,1,1,onion
http://rmoneyk6uez3sx66qskqt3yv3fsdd36hbi5kzrcf644wnldvi5hbf6id.onion,money laundering,69,1,2,16,1,1,onion
http://xjnmkburfxmsr3zlenxdsfjpsan2uopehfb25mypynnsv7idt7swxzid.onion,money laundering,69,1,2,16,1,1,onion
http://aqx4ixrwj5p3db3vhr2q2zk4gk6ltdwraog24n22jr6xei7irgnov4qd.onion,money laundering,69,1,2,16,1,1,onion
http://dickvoz3shmr7f4ose43lwrkgljcrvdxy25f4eclk7wl3nls5p5i4nyd.onion,money laundering,69,1,2,16,1,1,onion
http://monerotoruzizulg5ttgat2emf4d6fbmiea25detrmmy7erypseyteyd.onion,money laundering,69,1,2,16,1,1,onion
http://cardsjuwyrkhfapte2pxra7tcqcvjiiwkxz7p2pcoeblcqksjqlhrpad.onion,money laundering,69,1,2,16,1,1,onion
http://jjs4p6qp7pz374xudeokkvsqsenenm757ghmybq4psvp426yakffb6yd.onion,money laundering,69,1,2,16,1,1,onion
http://5nfxbzakytndjbks5gnvv34vcvbxp4gflawnluzbiwzu3mgfk3jaqoyd.onion,money laundering,69,1,2,16,1,1,onion
http://gwblxopywokvh3socxliddlqm52pxt5ks43ixaypgijdcea2r6asyeqd.onion,money laundering,69,1,2,16,1,1,onion
http://sjpglmishoubmbxzop3t7cwmck6vphskdkmxvwcpxfpjpz4e7yhb5pid.onion,money laundering,69,1,2,16,1,1,onion
http://gold36ktp7b2xxhk6yqyt7sxkmklzhavv7onvu7gjj2gmow3r6atntad.onion,money laundering,69,1,2,16,1,1,onion
http://ujkvtuxrbhx6hgz55xdm7ccgiycf7gmisrk7datsx4kf44cbgn5qgmyd.onion,money laundering,69,1,2,16,1,1,onion
http://cfjtpjtkikoza3zh6biyh6iox3tyb4o4atmgjyytngiyp5vwvsgqk3yd.onion,money laundering,69,1,2,16,1,1,onion
http://2v76ezf5venz3tjks4xj4uqjy6rmqxgmedifgmzxvtqfmfzowkm4q3ad.onion,hacking services,69,1,2,16,1,1,onion
http://36rdmeywj5gol3e7b7qs3euqylul3tgwzm3gip57bbuac2qafdux6mid.onion,hacking services,69,1,2,16,1,1,onion
http://cr3x3ejwhgynii72awctlge2pe6enuzexaa2hex6xf3c74s3osru3rad.onion,hacking services,69,1,2,16,1,1,onion
http://22hi74skzotdnilaywczvjvopf3vwx2rqypyyldp7ubkqei2tvdvvgyd.onion,hacking services,69,1,2,16,1,1,onion
http://xxxxm2hvb7klujtujbrbgdpokurg7kuuusl4twd2mdycgudbqeg5ajad.onion,hacking services,69,1,2,16,1,1,onion
http://anonhfaxxubqzl47gkinxyguu4v2w5vmz7ibhet4a27j5fo4ixibp7id.onion,hacking services,69,1,2,16,1,1,onion
http://anonhfax4xu3tpkmevtnsjcdnngbn63qn6rhn2mb7mtjwfvycnltgbid.onion,hacking services,69,1,2,16,1,1,onion
http://wiki6lfogb43ifgrn2m7jsb443v2opleqjyk433enwsiaofyj5c45tyd.onion,hacking services,69,1,2,16,1,1,onion
http://upswikopr3mdnoovxw4vmd5vy7dl2iuqn6cibgxeuintubgo3oto4nid.onion,hacking services,69,1,2,16,1,1,onion
http://6jyhstgbjdhaevf4q53oixqn3q2bsazowskpy3cq2w42g7xilyeopkad.onion,hacking services,69,1,2,16,1,1,onion
http://5vdvyycrebqxeuis6i5y6grtmw5ngfpc4us75n7qzp3lrlhbermsfvad.onion,hacking services,69,1,2,16,1,1,onion
http://6flydlxzm4xbjkisghgs6doqcuj7hkuydybruugj3dtuyu2auqnrhiqd.onion,hacking services,69,1,2,16,1,1,onion
http://t4sia7u6rbkef6gwrs2anpzsgd26mhmhdi4wc7n2mjmvi7qbxf5lv6qd.onion,hacking services,69,1,2,16,1,1,onion
http://nrnvrikahsk2nwtsfkim373gy7yofhh4skwrhlfgt2rvhv22eswv3iqd.onion,hacking services,69,1,2,16,1,1,onion
http://llmqmo5gkzukt2yg5btozekjdn4itzrhpiyr3qakrurmqykrvv3kncid.onion,hacking services,69,1,2,16,1,1,onion
http://bankulopivxxjsz3tbkmyzm2xwvabvj7d3kti6cvz2zz5x3u57mhdpid.onion,hacking services,69,1,2,16,1,1,onion
http://tktfzcb3abz5stv7fk2iri4ysfgnzgxgu4e6mbyabvtn7tiem2n5i7id.onion,hacking services,69,1,2,16,1,1,onion
http://habeehrhadazsw3izbrbilqajalfyqqln54mrja3iwpqxgcuxnus7eid.onion,hacking services,69,1,2,16,1,1,onion
http://5ljieuxpn3ghwwfdwh4qmjxryo7ufr5dz4fwlxunjs3wmmdecpqt7oyd.onion,hacking services,69,1,2,16,1,1,onion
http://4dn7ze5zzur7tq3w2hnyzwnm74do7kp5cojxwlks4thmlntoypp3zrid.onion,hacking services,69,1,2,16,1,1,onion
http://iu2fjxppoxyrprjgktvp6ny6pshaowapmiwtyzlsg7qnsuaymwhnwnyd.onion,hacking services,69,1,2,16,1,1,onion
http://p377jgkb6gahsxpa7r3t5arlgvcih2ivsrqmezveeo5yeztambizydid.onion,hacking services,69,1,2,16,1,1,onion
http://hswskeq6ibbejpmba5pdcevmue6h7rjl5usibe3qpmp5dsaviafwfkqd.onion,hacking services,69,1,2,16,1,1,onion
http://msgolvhnfq7tsxnppr4v6bbg5i7wdkzwtpejepp7qfnzomk5d27vdoyd.onion,hacking services,69,1,2,16,1,1,onion
http://ua26qpnyesht2c5znwqlflme72fq3cvncfyij4jsjc4pqtheccn3z7yd.onion,hacking services,69,1,2,16,1,1,onion
http://thamzacnsl54lok65uqoh5ovznywydo6euqzsbft26jlidprvjsftwyd.onion,hacking services,69,1,2,16,1,1,onion
http://plasticjz277pud3mm7ue4tykvve6kffjj4l7tzizm2dqgu7znbl65yd.onion,hacking services,69,1,2,16,1,1,onion
http://moneypls57xtnme52lyldf43zau4otqhq4232y3zueaia6rvm4semxyd.onion,hacking services,69,1,2,16,1,1,onion
http://seblu42eho4wkvvsyyaolobzvursh4egh7sptpimochvhymhhtef6pad.onion,hacking services,69,1,2,16,1,1,onion
http://proorxli43pfz7yathen7f7miayajrbap4vy6hgupuxwrijmnxqh5dqd.onion,hacking services,69,1,2,16,1,1,onion
http://5odv4qjwkhpv3obbtqlgjsk3xfcr6llfvu6dfn6u4e5umhjd3flikgid.onion,hacking services,69,1,2,16,1,1,onion
http://ljboolt2oy2e3nraugxit27ue4uyverc7olz3ppb36x76kq3wwzxvfyd.onion,hacking services,69,1,2,16,1,1,onion
http://rauqslxrlgezjx2itvr7hhikz7ypugin2yoyfjdvwarn63wy33b3nfyd.onion,hacking services,69,1,2,16,1,1,onion
http://rauqslxrgm4sqof7hexo7vocdbyjpl63aij5ekk2bw5xkwrhilvqsgid.onion,hacking services,69,1,2,16,1,1,onion
http://pmoney53xe4ijqhbov66gwwkqvfppovcml7li7hbjfbcyxvngxny5uad.onion,hacking services,69,1,2,16,1,1,onion
http://proxy4tip6zp4p7cayhol6alitzuncucc3pk25k2px4iysjtbyyhzvqd.onion,hacking services,69,1,2,16,1,1,onion
